Year	Genre	Sex	Time	Performer
2022	Country	female	111	Mickey Guyton
2021	"R&B/Soul, Country"	mixed	137	"Jazmine Sullivan, Eric Church"
2020	Pop	nonbinary	169	Demi Lovato
2019	R&B/Soul	female	121	Gladys Knight
2018	Pop	female	113	P!nk
2017	Country	male	124	Luke Bryan
2016	Pop	female	129	Lady Gaga
2015	Pop	female	124	Idina Menzel
2014	Other	female	114	Renee Fleming
2013	Pop	female	155	Alicia Keys
2012	Pop	female	94	Kelly Clarkson
2011	Pop	female	114	Christina Aguilera
2010	Country	female	107	Carrie Underwood
2009	R&B/Soul	female	130	Jennifer Hudson
2008	Pop	female	114	Jordin Sparks
2007	Pop	male	90	Billy Joel
2006	R&B/Soul	mixed	128	"Aaron Neville, Aretha Franklin"
2005	Other	mixed	112	Military Academy Choirs
2004	Pop	female	129	Beyonce
2003	Country	female	96	Dixie Chicks
2002	Pop	female	116	Mariah Carey
2001	Pop	male	110	Backstreet Boys
2000	Country	female	121	Faith Hill
1999	Pop	female	115	Cher
1998	Pop	female	87	Jewel
1997	R&B/Soul	male	113	Luther Vandross
1996	Pop	female	95	Vanessa Williams
1995	Other	female	100	Kathie Lee Gifford
1994	R&B/Soul	female	153	Natalie Cole
1993	Country	male	105	Garth Brooks
1992	Pop	male	126	Harry Connick Jr.
1991	Pop	female	116	Whitney Houston
1990	R&B/Soul	male	90	Aaron Neville
1989	Pop	male	85	Billy Joel
1988	Other	male	91	Herb Alpert
1987	Pop	male	64	Neil Diamond
1986	Other	male	83	Wynton Marsalis
1985	Other	mixed	81	San Francisco Choruses
1984	Pop	male	100	Barry Manilow
1983	Other	female	102	Leslie Easterbrook
1982	R&B/Soul	female	99	Diana Ross
1981	Pop	female	86	Helen O'Connell
1980	Pop	female	89	Cheryl Ladd
